Store Name,Address,Postal Code,City,Phone,Chain / Group,Type,Parent Company,Apple Reseller,Apple Type,Products,Notes,Source
POWER Västerås,Hallsta Gårdsgata 17,721 38,Västerås,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone, Mac, iPad, Watch, iPod",Converted from MediaMarkt 2023,power.se
POWER Borås,Ålgårdsvägen 11,506 30,Borås,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone, Mac, iPad, Watch, iPod",Converted from MediaMarkt 2023,power.se
POWER Bäckebol,Transportgatan 19,422 46,Hisings Backa,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone, Mac, iPad, Watch, iPod",Converted from MediaMarkt 2023,power.se
POWER Högsbo,Lona Knapes gata 1,421 32,Västra Frölunda,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone, Mac, iPad, Watch, iPod",Converted from MediaMarkt 2023,power.se
POWER Skövde,Jonstorpsgatan 3C,549 37,Skövde,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone, Mac, iPad, Watch, iPod",Converted from MediaMarkt 2023,power.se
POWER Torpavallen,Torpavallsgatan 4D,416 73,Göteborg,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone, Mac, iPad, Watch, iPod",Converted from MediaMarkt 2023,power.se
POWER Örebro,Marieberg Säljarevägen 10C,702 36,Örebro,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone, Mac, iPad, Watch, iPod",Converted from MediaMarkt 2023,power.se
POWER Linköping,Bonnorpsgatan 3-5,582 73,Linköping,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone, Mac, iPad, Watch, iPod",Converted from MediaMarkt 2023,power.se
POWER Norrköping,Koppargatan 30,602 23,Norrköping,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone, Mac, iPad, Watch, iPod",Converted from MediaMarkt 2023,power.se
Apple Täby Centrum,,183 34,Täby,+46 8 446 93 00,Apple Store,chain,Apple Inc. (USA),Yes,Apple Store (official),"iPhone, Mac, iPad, Watch, AirPods, iPod",Official Apple Store,apple.com
Apple Mall of Scandinavia,,169 79,Solna,+46 8 525 170 00,Apple Store,chain,Apple Inc. (USA),Yes,Apple Store (official),"iPhone, Mac, iPad, Watch, AirPods, iPod",Official Apple Store,apple.com
Apple Emporia,,215 86,Malmö,+46 40 37 10 00,Apple Store,chain,Apple Inc. (USA),Yes,Apple Store (official),"iPhone, Mac, iPad, Watch, AirPods, iPod",Official Apple Store,apple.com
AB Bert Sjödin Radio & Maskinaffär,Hornsgatan 21,832 42,Frösön,,Apple Authorized Reseller,independent_apr,,Yes,AAR,"iPhone,iPad,iPod",Apple AAR,locate.apple.com
Henrys El-Shop i Krokom AB,Krokomsporten,835 32,Krokom,,Apple Authorized Reseller,independent_apr,,Yes,AAR,"iPhone,iPad,iPod",Apple AAR,locate.apple.com
C&C Östersund,Prästgatan 23,831 31,Östersund,,Apple Authorized Reseller,independent_apr,,Yes,APR,"iPhone,Mac,iPad,Watch,iPod",Apple APR,locate.apple.com
Elgiganten Östersund,Hagvägen 1B,831 48,Östersund,,Elgiganten,chain,,Yes,Apple Shop,"iPhone,Mac,iPad,Watch,iPod",Apple Apple Shop,locate.apple.com
Elgiganten Phonehouse Östersund,Prästgatan 47,831 34,Östersund,,Elgiganten,chain,,Yes,AAR,"iPhone,iPad,Watch,iPod",Apple AAR,locate.apple.com
NetOnNet Östersund,Hagvägen 5,831 48,Östersund,,NetOnNet,chain,,Yes,AAR,"iPhone,Mac,iPad,Watch,iPod",Apple AAR,locate.apple.com
